epoch,loss,accuracy,time_s
1,6.0651,18.11,666
2,3.0021,50.87,658
3,2.4579,59.34,669
4,2.2688,62.54,714
5,2.1634,64.41,753
6,2.0793,65.89,768
7,2.0122,67.13,773
8,1.9466,68.34,777
9,1.8789,69.61,777
10,1.8098,70.88,778
11,1.7317,72.33,768
12,1.6572,73.90,719
13,1.5778,75.36,718
14,1.4929,77.00,719
15,1.4055,78.75,720
16,1.3160,80.51,719
17,1.2212,82.41,718
18,1.1213,84.32,717
19,1.0202,86.20,717
20,0.9187,88.11,717
21,0.8133,89.90,718
22,0.7046,91.73,715
23,0.5923,93.53,770
24,0.4851,95.13,791
25,0.3813,96.63,854
26,0.2886,97.94,723
27,0.2178,98.85,718
28,0.1716,99.34,712
29,0.1453,99.59,711
30,0.1322,99.71,711
